Nif_Desulfobacteraceae_bacterium,nif-ii
Nif_Desulfobacteraceae_bacterium_Eth-SRB2,nif-ii
Nif_Desulfobacterales_bacterium_C00003106,nif-ii
Nif_Desulfobacterium_autotrophicum,nif-ii
Nif_Desulfobotulus_alkaliphilus,nif-ii
Nif_Desulfobulbaceae_bacterium,nif-ii
Nif_Desulfobulbaceae_bacterium_A2,nif-ii
Nif_Desulfobulbaceae_bacterium_DB1,nif-ii
Nif_Desulfobulbus_elongatus,nif-ii
Nif_Desulfocarbo_indianensis,nif-ii
Nif_Desulfocucumis_palustris,nif-ii
Nif_Desulfocurvibacter_africanus,nif-ii
Nif_Desulfofarcimen_acetoxidans,nif-ii
Nif_Desulfofustis_glycolicus,nif-ii
Nif_Desulfohalovibrio_alkalitolerans,nif-ii
Nif_Desulfoluna_spongiiphila,nif-ii
Nif_Desulfomicrobium_apsheronum,nif-ii
Nif_Desulfomonile_tiedjei,nif-ii
Nif_Desulfonatronospira_thiodismutans,nif-ii
Nif_Desulfonatronovibrio_hydrogenovorans,nif-ii
Nif_Desulfonatronum_lacustre,nif-ii
Nif_Desulfopila_aestuarii,nif-ii
Nif_Desulforegula_conservatrix,nif-ii
Nif_Desulforhopalus_singaporensis,nif-ii
Nif_Desulfosarcina_cetonica,nif-ii
Nif_Desulfospira_joergensenii,nif-ii
Nif_Desulfotalea_sp,nif-ii
Nif_Desulfotomaculum_ferrireducens,nif-ii
Nif_Desulfovibrio_desulfuricans,nif-ii
Nif_Desulfuribacillus_alkaliarsenatis,nif-ii
Nif_Desulfurispora_thermophila,nif-ii
Nif_Dethiobacter_alkaliphilus,nif-ii
Nif_Dethiosulfatibacter_aminovorans,nif-ii
Nif_Dissulfuribacter_thermophilus,nif-ii
Nif_Draconibacterium_sediminis,nif-ii
Nif_Dysgonomonas_capnocytophagoides,nif-ii
Nif_Elusimicrobia_bacterium_RIFOXYA2_FULL_50_26,nif-ii
Nif_Ethanoligenens_harbinense,nif-ii
Nif_Fibrobacteres_bacterium,nif-ii
Nif_Firmicutes_bacterium_HGW-Firmicutes-1,nif-ii
Nif_Firmicutes_bacterium_HGW-Firmicutes-8,nif-ii
Nif_Gaiellales_bacterium,nif-ii
Nif_Geitlerinema_sp_PCC_9228,nif-ii
Nif_Geminisphaera_colitermitum,nif-ii
Nif_Geosporobacter_ferrireducens,nif-ii
Nif_Gordonibacter_sp_28C,nif-ii
Nif_Gracilibacter_sp_BRH_c7a,nif-ii
Nif_Halanaerobium_salsuginis,nif-ii
Nif_Halocella_sp_SP3-1,nif-ii
Nif_Holophaga_foetida,nif-ii
Nif_Hungateiclostridium_cellulolyticum,nif-ii
Nif_Hydrogenispora_ethanolica,nif-ii
Nif_Ilyobacter_polytropus,nif-ii
Nif_Kiritimatiellales_bacterium,nif-ii
Nif_Labilibacter_aurantiacus,nif-ii
Nif_Lachnospiraceae_bacterium,nif-ii
Nif_Lachnospiraceae_bacterium_Marseille-P3773,nif-ii
Nif_Lentisphaerae_bacterium_GWF2_50_93,nif-ii
Nif_Lentisphaerae_bacterium_GWF2_57_35,nif-ii
Nif_Lucifera_butyrica,nif-ii
Nif_Lutibacter_agarilyticus,nif-ii
Nif_Mangrovibacterium_diazotrophicum,nif-ii
Nif_Marinilabilia_sp_WTE,nif-ii
Nif_Massilibacillus_massiliensis,nif-ii
Nif_Megasphaera_cerevisiae,nif-ii
Nif_Methanocella_arvoryzae,nif-ii
Nif_Methanoculleus_taiwanensis,nif-ii
Nif_Methanolacinia_paynteri,nif-ii
Nif_Methanolobus_psychrotolerans,nif-ii
Nif_Methanomassiliicoccus_luminyensis,nif-ii
Nif_Methanomicrobiales_archaeon_HGW-Methanomicrobiales-1,nif-ii
Nif_Methanoregula_boonei,nif-ii
Nif_Methanosarcina_acetivorans_C2A,nif-ii
Nif_Methanosphaerula_palustris,nif-ii
Nif_Methanospirillum_lacunae,nif-ii
Nif_Methanothrix_soehngenii,nif-ii
Nif_Natranaerovirga_hydrolytica,nif-ii
Nif_Natronoflexus_pectinivorans,nif-ii
Nif_Opitutaceae_bacterium_EW11,nif-ii
Nif_Orenia_marismortui,nif-ii
Nif_Orenia_metallireducens,nif-ii
Nif_Oxobacter_pfennigii,nif-ii
Nif_Paludibacter_propionicigenes,nif-ii
Nif_Parasporobacterium_paucivorans,nif-ii
Nif_Pectinatus_cerevisiiphilus,nif-ii
Nif_Peptococcaceae_bacterium_BICA1-7,nif-ii
Nif_Peptococcaceae_bacterium_BRH_c4a,nif-ii
Nif_Peptococcaceae_bacterium_SCADC1_2_3,nif-ii
Nif_Petrocella_atlantisensis,nif-ii
Nif_Petroclostridium_xylanilyticum,nif-ii
Nif_Phormidium_sp_HE10JO,nif-ii
Nif_Phycisphaeraceae_bacterium,nif-ii
Nif_Planctomycetaceae_bacterium,nif-ii
Nif_Planctomycetes_bacterium,nif-ii
Nif_Planctomycetes_bacterium_Q31b,nif-ii
Nif_Planctomycetes_bacterium_V7,nif-ii
Nif_Prevotella_oryzae,nif-ii
Nif_Propionibacterium_cyclohexanicum,nif-ii
Nif_Propionispira_arboris,nif-ii
Nif_Prosthecochloris_sp_GSB1,nif-ii
Nif_Pseudobacteroides_cellulosolvens,nif-ii
Nif_Pseudoclostridium_thermosuccinogenes,nif-ii
Nif_Pseudodesulfovibrio_hydrargyri,nif-ii
Nif_Robinsoniella_sp_MCWD5,nif-ii
Nif_Roseofilum_reptotaenium_AO1-A,nif-ii
Nif_Ruminiclostridium_hungatei,nif-ii
Nif_Sediminispirochaeta_smaragdinae,nif-ii
Nif_Serpentinicella_alkaliphila,nif-ii
Nif_Smithella_sp_SC_K08D17,nif-ii
Nif_Spirochaeta_cellobiosiphila,nif-ii
Nif_Spirochaeta_thermophila,nif-ii
